Episode,Timestep,Reward,Loss,WinRate,Epsilon
137,2631,-10.00,1.956184,32.12,0.0100
138,2650,60.67,2.034996,32.61,0.0100
139,2671,62.17,2.197505,33.09,0.0100
140,2688,-12.00,2.149106,32.86,0.0100
141,2707,59.50,1.860458,33.33,0.0100
142,2730,-9.00,1.843235,33.10,0.0100
143,2746,55.67,1.463482,33.57,0.0100
144,2760,-17.00,1.722839,33.33,0.0100
145,2779,58.67,1.827732,33.79,0.0100
146,2800,59.00,1.752662,34.25,0.0100
147,2822,-18.00,1.882271,34.01,0.0100
148,2841,-19.00,1.868027,33.78,0.0100
149,2875,70.67,1.960368,34.23,0.0100
150,2880,-29.00,1.971742,34.00,0.0100
151,2896,59.50,1.945097,34.44,0.0100
152,2925,-3.00,1.881788,34.21,0.0100
153,2950,62.83,1.917500,34.64,0.0100
154,2969,-17.00,1.762906,34.42,0.0100
155,2990,-16.00,2.025385,34.19,0.0100
156,3009,-17.00,1.771511,33.97,0.0100
157,3040,62.50,1.559758,34.39,0.0100
158,3063,-8.00,2.020236,34.18,0.0100
159,3080,-15.00,2.523254,33.96,0.0100
160,3100,62.17,1.783964,34.38,0.0100
161,3108,-25.00,1.542113,34.16,0.0100
162,3142,71.17,1.799293,34.57,0.0100
163,3162,-21.00,2.238225,34.36,0.0100
164,3187,64.17,2.008836,34.76,0.0100
165,3192,-29.00,1.777196,34.55,0.0100
166,3223,67.67,1.780726,34.94,0.0100
167,3243,-17.00,1.981572,34.73,0.0100
168,3256,54.83,2.154985,35.12,0.0100
169,3282,-8.00,2.014627,34.91,0.0100
170,3298,59.67,1.862282,35.29,0.0100
171,3317,-15.00,2.136346,35.09,0.0100
172,3336,-14.00,1.983647,34.88,0.0100
173,3348,-25.00,1.923848,34.68,0.0100
174,3376,65.17,1.900252,35.06,0.0100
175,3396,-17.00,1.836436,34.86,0.0100
176,3426,-2.00,1.794788,34.66,0.0100
177,3459,-3.00,1.910723,34.46,0.0100
178,3484,62.00,2.118071,34.83,0.0100
179,3510,-8.00,1.935178,34.64,0.0100
180,3520,54.67,1.993650,35.00,0.0100
181,3531,-26.00,1.997274,34.81,0.0100
182,3549,-21.00,2.016398,34.62,0.0100
183,3574,65.17,1.928141,34.97,0.0100
184,3585,-26.00,1.573782,34.78,0.0100
185,3604,60.33,1.866102,35.14,0.0100
186,3621,-18.00,2.392976,34.95,0.0100
187,3643,61.00,1.908446,35.29,0.0100
188,3662,-21.00,1.876055,35.11,0.0100
189,3681,-17.00,2.279199,34.92,0.0100
190,3709,69.50,1.946581,35.26,0.0100
191,3729,-12.00,1.800161,35.08,0.0100
192,3745,55.33,2.060251,35.42,0.0100
193,3762,-21.00,1.810801,35.23,0.0100
194,3787,60.17,1.721095,35.57,0.0100
195,3807,-19.00,1.605179,35.38,0.0100
196,3822,-21.00,2.044521,35.20,0.0100
197,3850,66.67,1.916432,35.53,0.0100
198,3867,-22.00,2.087757,35.35,0.0100
199,3901,65.67,2.201521,35.68,0.0100
200,3925,63.67,2.103255,36.00,0.0100
201,3945,-17.00,1.627365,35.82,0.0100
202,3961,54.83,2.066083,36.14,0.0100
203,3982,62.17,1.996579,36.45,0.0100
204,4002,-9.00,1.872103,36.27,0.0100
205,4033,68.83,1.883843,36.59,0.0100
206,4059,-6.00,1.924571,36.41,0.0100
207,4084,66.33,1.785770,36.71,0.0100
208,4105,57.17,2.063794,37.02,0.0100
209,4127,-16.00,1.699359,36.84,0.0100
210,4146,-15.00,1.934322,36.67,0.0100
211,4152,-28.00,1.929579,36.49,0.0100
212,4172,-20.00,1.974674,36.32,0.0100
213,4198,58.83,1.849865,36.62,0.0100
214,4214,-18.00,2.001903,36.45,0.0100
215,4243,65.00,1.917138,36.74,0.0100
216,4279,67.83,1.952938,37.04,0.0100
217,4299,-15.00,1.961447,36.87,0.0100
218,4312,57.33,1.722687,37.16,0.0100
219,4341,-9.00,2.140528,36.99,0.0100
220,4366,62.00,1.655311,37.27,0.0100
221,4392,-4.00,1.837425,37.10,0.0100
